iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,061,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DE","DEERE","Industrials","Equity","1,486,445,179.05","0.21","1,486,445,179.05","3,136,953.00","473.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,430,929,177.20","0.20","1,430,929,177.20","11,558,394.00","123.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,422,309,720.06","0.20","1,422,309,720.06","6,180,462.00","230.13","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,394,945,585.68","0.20","1,394,945,585.68","15,554,701.00","89.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,390,659,347.52","0.20","1,390,659,347.52","3,193,101.00","435.52","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","1,369,484,931.22","0.19","1,369,484,931.22","4,617,746.00","296.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,333,423,976.50","0.19","1,333,423,976.50","1,549,142.00","860.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,320,333,817.55","0.19","1,320,333,817.55","3,890,773.00","339.35","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,300,663,479.50","0.18","1,300,663,479.50","1,591,415.00","817.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,284,256,385.72","0.18","1,284,256,385.72","6,027,109.00","213.08","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,259,607,647.34","0.18","1,259,607,647.34","5,044,686.00","249.69","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,254,911,133.60","0.18","1,254,911,133.60","45,866,635.00","27.36","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","1,253,461,144.64","0.18","1,253,461,144.64","4,488,188.00","279.28","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,253,340,621.45","0.18","1,253,340,621.45","9,179,965.00","136.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,242,488,187.72","0.18","1,242,488,187.72","13,700,388.00","90.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,233,141,560.14","0.18","1,233,141,560.14","20,921,981.00","58.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,231,162,219.08","0.17","1,231,162,219.08","15,796,282.00","77.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,214,627,611.68","0.17","1,214,627,611.68","2,558,619.00","474.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,198,981,458.80","0.17","1,198,981,458.80","9,684,826.00","123.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,192,980,694.36","0.17","1,192,980,694.36","25,350,206.00","47.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,184,729,654.60","0.17","1,184,729,654.60","13,680,481.00","86.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,179,703,643.30","0.17","1,179,703,643.30","14,157,010.00","83.33","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,127,973,373.44","0.16","1,127,973,373.44","2,771,161.00","407.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","1,103,634,339.50","0.16","1,103,634,339.50","6,122,798.00","180.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","1,101,769,932.60","0.16","1,101,769,932.60","9,639,282.00","114.30","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1,099,766,307.10","0.16","1,099,766,307.10","6,633,490.00","165.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,089,208,495.58","0.15","1,089,208,495.58","7,129,261.00","152.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,088,557,169.90","0.15","1,088,557,169.90","1,088,557,170.00","1.00","United States","-","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,073,148,863.10","0.15","1,073,148,863.10","3,144,390.00","341.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1,058,778,903.30","0.15","1,058,778,903.30","5,831,886.00","181.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","1,039,114,172.93","0.15","1,039,114,172.93","10,567,621.00","98.33","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1,029,018,937.50","0.15","1,029,018,937.50","3,393,750.00","303.21","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","1,010,241,510.04","0.14","1,010,241,510.04","5,020,582.00","201.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","977,741,183.76","0.14","977,741,183.76","4,610,247.00","212.08","United States","NASDAQ","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","975,555,404.34","0.14","975,555,404.34","8,544,013.00","114.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","975,387,430.68","0.14","975,387,430.68","2,039,962.00","478.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","975,266,771.50","0.14","975,266,771.50","4,615,555.00","211.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","950,048,452.80","0.13","950,048,452.80","1,676,280.00","566.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","949,600,970.78","0.13","949,600,970.78","1,218,734.00","779.17","United States","NASDAQ","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","948,164,450.58","0.13","948,164,450.58","701,793.00","1,351.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
